Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Score	Tags
13676	Channel 1	1	58620.3	58622.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	120.3	0.1	narw
13677	Channel 1	3	58621.3	58621.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	121.3	1	narw
13678	Channel 1	3	58621.6	58623.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	121.6	0.53	narw
13679	Channel 1	3	58621.8	58623.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	121.8	0.38	narw
13680	Channel 1	3	58622	58624.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	122	0.27	narw
13681	Channel 1	5	58622.1	58624.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	122.1	0.14	narw
13682	Channel 1	3	58622.3	58624.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	122.3	0.18	narw
13683	Channel 1	2	58627.9	58628.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	127.9	0.87	narw
13684	Channel 1	1	58630.7	58632.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	130.7	0.28	narw
13685	Channel 1	1	58630.9	58633.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	130.9	0.15	narw
13686	Channel 1	2	58633.4	58635.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	133.4	0.25	narw
13687	Channel 1	2	58633.6	58635.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	133.6	0.44	narw
13688	Channel 1	1	58634.4	58636.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	134.4	0.1	narw
13689	Channel 1	1	58635.3	58637.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	135.3	0.16	narw
13690	Channel 1	1	58636	58638.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	136	0.12	narw
13691	Channel 1	1	58636.2	58638.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	136.2	0.24	narw
13692	Channel 1	1	58636.5	58638.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	136.5	0.08	narw
13693	Channel 1	1	58639.8	58641.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	139.8	0.34	narw
13694	Channel 1	1	58642	58644.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	142	0.23	narw
13695	Channel 1	1	58642.9	58645.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	142.9	0.11	narw
13696	Channel 1	1	58643.1	58645.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	143.1	0.17	narw
13697	Channel 1	1	58643.8	58645.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	143.8	0.27	narw
13698	Channel 1	1	58644.5	58646.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	144.5	0.1	narw
13699	Channel 1	1	58645.1	58647.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	145.1	0	narw
13700	Channel 1	1	58646.1	58648.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	146.1	0.2	narw
13701	Channel 1	1	58646.5	58648.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	146.5	0.1	narw
13702	Channel 1	3	58647.9	58649.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	147.9	0.47	narw
13703	Channel 1	1	58648	58649.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	148	0.11	narw
13704	Channel 1	1	58648.6	58650.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	148.6	0.36	narw
13705	Channel 1	1	58650	58652.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	150	0.17	narw
13706	Channel 1	1	58650.2	58652.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	150.2	0.15	narw
13707	Channel 1	1	58651.3	58652.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	151.3	0.2	narw
13708	Channel 1	1	58651.5	58653.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	151.5	0.23	narw
13709	Channel 1	1	58651.8	58653.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	151.8	0.08	narw
13710	Channel 1	1	58656.7	58658.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	156.7	0.3	narw
13711	Channel 1	1	58658.2	58660.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	158.2	0.08	narw
13712	Channel 1	1	58659.1	58661.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	159.1	0.61	narw
13713	Channel 1	4	58665.4	58667.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	165.4	0.18	narw
13714	Channel 1	1	58667.8	58669.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	167.8	0.03	narw
13715	Channel 1	2	58671	58673.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	171	0.06	narw
13716	Channel 1	3	58671.7	58673.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	171.7	0.19	narw
13717	Channel 1	1	58674.2	58676.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	174.2	0.08	narw
13718	Channel 1	1	58674.4	58676.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	174.4	0.07	narw
13719	Channel 1	3	58674.6	58676.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	174.6	0.21	narw
13720	Channel 1	3	58675.2	58677.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	175.2	0.34	narw
13721	Channel 1	3	58675.6	58677.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	175.6	0.63	narw
13722	Channel 1	1	58676.6	58678.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	176.6	0.38	narw
13723	Channel 1	2	58677.3	58679.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	177.3	0.5	narw
13724	Channel 1	2	58677.6	58679.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	177.6	0.21	narw
13725	Channel 1	2	58677.9	58679.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	177.9	0.75	narw
13726	Channel 1	3	58685.1	58687.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	185.1	0.24	narw
13727	Channel 1	3	58685.4	58687.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	185.4	0.06	narw
13728	Channel 1	3	58688.3	58690.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	188.3	0.17	narw
13729	Channel 1	2	58692.3	58694.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	192.3	0.23	narw
13730	Channel 1	2	58692.6	58694.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	192.6	0.24	narw
13731	Channel 1	5	58705.1	58707.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	205.1	0.39	narw
13732	Channel 1	5	58705.3	58707.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	205.3	0.5	narw
13733	Channel 1	5	58705.9	58708.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	205.9	0.11	narw
13734	Channel 1	3	58711.6	58713.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	211.6	0.21	narw
13735	Channel 1	3	58712.4	58713.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	212.4	0.4	narw
13736	Channel 1	5	58718.1	58719.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	218.1	0.59	narw
13737	Channel 1	2	58718.7	58719.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	218.7	0.99	narw
13738	Channel 1	3	58720.5	58722.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	220.5	0.18	narw
13739	Channel 1	1	58720.6	58722.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	220.6	0.21	narw
13740	Channel 1	1	58721.2	58723.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	221.2	0.53	narw
13741	Channel 1	1	58733.4	58735.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	233.4	0.09	narw
13742	Channel 1	1	58739	58741.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	239	0.31	narw
13743	Channel 1	1	58739.5	58741.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	239.5	0.08	narw
13744	Channel 1	1	58743.1	58745.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	243.1	0.26	narw
13745	Channel 1	5	58744.5	58746.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	244.5	0.05	narw
13746	Channel 1	5	58746.5	58748.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	246.5	0.05	narw
13747	Channel 1	5	58750.5	58752.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	250.5	0.25	narw
13748	Channel 1	5	58751.1	58753.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	251.1	0.23	narw
13749	Channel 1	4	58755.1	58757.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	255.1	0.26	narw
13750	Channel 1	4	58755.4	58757.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	255.4	0.04	narw
13751	Channel 1	3	58770.3	58772.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	270.3	0.15	narw
13752	Channel 1	3	58770.8	58772.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	270.8	0.43	narw
13753	Channel 1	3	58771.1	58773.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	271.1	0.2	narw
13754	Channel 1	2	58772.4	58774.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	272.4	0	narw
13755	Channel 1	2	58772.7	58774.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	272.7	0.02	narw
13756	Channel 1	2	58772.9	58775.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	272.9	0.19	narw
13757	Channel 1	2	58773.2	58775.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	273.2	0.13	narw
13758	Channel 1	5	58774.7	58776.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	274.7	0.14	narw
13759	Channel 1	3	58775	58777.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	275	0.23	narw
13760	Channel 1	4	58780.8	58782.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	280.8	0.27	narw
13761	Channel 1	4	58781	58783.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	281	0.13	narw
13762	Channel 1	5	58782	58783.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	282	0.12	narw
13763	Channel 1	5	58782.2	58784.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	282.2	0.14	narw
13764	Channel 1	3	58783.5	58785.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	283.5	0.2	narw
13765	Channel 1	3	58783.9	58785.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	283.9	0.24	narw
13766	Channel 1	5	58791.8	58793.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	291.8	0.33	narw
13767	Channel 1	2	58792.3	58794.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	292.3	0.73	narw
13768	Channel 1	1	58793.2	58795.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	293.2	0.29	narw
13769	Channel 1	1	58793.4	58795.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	293.4	0.13	narw
13770	Channel 1	5	58796.5	58798.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	296.5	0.2	narw
13771	Channel 1	4	58798.4	58800.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	298.4	0.03	narw
13772	Channel 1	2	58798.7	58800.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	298.7	0.52	narw
13773	Channel 1	2	58798.9	58801.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	298.9	0.18	narw
13774	Channel 1	2	58799.2	58801.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	299.2	0.3	narw
13775	Channel 1	1	58799.3	58801.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	299.3	0.18	narw
13776	Channel 1	1	58800	58802.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	300	0.44	narw
13777	Channel 1	1	58800.3	58802.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	300.3	0.47	narw
13778	Channel 1	1	58800.6	58802.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	300.6	0.34	narw
13779	Channel 1	1	58801.1	58803.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	301.1	0.57	narw
13780	Channel 1	3	58802.2	58804.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	302.2	0.3	narw
13781	Channel 1	5	58803.6	58805.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	303.6	0.39	narw
13782	Channel 1	5	58804.2	58806.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	304.2	0.15	narw
13783	Channel 1	5	58808.7	58810.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	308.7	0.13	narw
13784	Channel 1	5	58809	58811.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	309	0.19	narw
13785	Channel 1	1	58809.6	58811.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	309.6	0.38	narw
13786	Channel 1	4	58810.8	58812.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	310.8	0.02	narw
13787	Channel 1	3	58813.2	58815.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	313.2	0.28	narw
13788	Channel 1	3	58813.8	58815.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	313.8	0.55	narw
13789	Channel 1	1	58816.2	58818.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	316.2	0.44	narw
13790	Channel 1	1	58816.5	58818.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	316.5	0.08	narw
13791	Channel 1	1	58819	58820.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	319	0.32	narw
13792	Channel 1	1	58819.2	58821.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	319.2	0.03	narw
13793	Channel 1	1	58819.8	58821.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	319.8	0.35	narw
13794	Channel 1	2	58820.3	58822.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	320.3	0.08	narw
13795	Channel 1	2	58820.7	58822.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	320.7	0.08	narw
13796	Channel 1	2	58821.2	58823.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	321.2	0.56	narw
13797	Channel 1	4	58823.3	58825.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	323.3	0.23	narw
13798	Channel 1	4	58823.9	58825.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	323.9	0.13	narw
13799	Channel 1	4	58829.1	58831.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	329.1	0.09	narw
13800	Channel 1	2	58830.8	58832.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	330.8	0.42	narw
13801	Channel 1	2	58831.4	58833.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	331.4	0.31	narw
13802	Channel 1	4	58834.4	58835.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	334.4	0.56	narw
13803	Channel 1	4	58834.7	58836.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	334.7	0.2	narw
13804	Channel 1	2	58838	58840.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	338	0.38	narw
13805	Channel 1	5	58838.6	58840.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	338.6	0.04	narw
13806	Channel 1	1	58839.5	58841.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	339.5	0.04	narw
13807	Channel 1	2	58840.5	58841.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	340.5	0.5	narw
13808	Channel 1	4	58841.8	58843.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	341.8	0.2	narw
13809	Channel 1	4	58842	58844.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	342	0.07	narw
13810	Channel 1	5	58843	58845.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	343	0.31	narw
13811	Channel 1	5	58843.5	58845.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	343.5	0.13	narw
13812	Channel 1	5	58843.8	58845.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	343.8	0.31	narw
13813	Channel 1	3	58843.9	58845.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	343.9	0.32	narw
13814	Channel 1	4	58844.1	58846.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	344.1	0.35	narw
13815	Channel 1	2	58845.2	58847.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	345.2	0.18	narw
13816	Channel 1	5	58849.4	58851.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	349.4	0.5	narw
13817	Channel 1	5	58849.6	58851.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	349.6	0.01	narw
13818	Channel 1	2	58850.9	58852.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	350.9	0.4	narw
13819	Channel 1	2	58851.1	58853.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	351.1	0.03	narw
13820	Channel 1	2	58851.9	58853.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	351.9	0.57	narw
13821	Channel 1	2	58852.3	58854.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	352.3	0.29	narw
13822	Channel 1	2	58852.5	58854.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	352.5	0.01	narw
13823	Channel 1	1	58857.7	58859.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	357.7	0.14	narw
13824	Channel 1	3	58860.6	58862.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	360.6	0.77	narw
13825	Channel 1	3	58860.8	58862.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	360.8	0.13	narw
13826	Channel 1	3	58861.3	58863.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	361.3	0.68	narw
13827	Channel 1	2	58868.9	58870.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	368.9	0.13	narw
13828	Channel 1	2	58869.6	58871.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	369.6	0.32	narw
13829	Channel 1	2	58872.4	58874.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	372.4	0.03	narw
13830	Channel 1	5	58873.4	58875.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	373.4	0.31	narw
13831	Channel 1	3	58876.4	58878.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	376.4	0.01	narw
13832	Channel 1	2	58877.9	58879.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	377.9	0.34	narw
13833	Channel 1	4	58883.4	58885.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	383.4	0.19	narw
13834	Channel 1	4	58883.7	58885.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	383.7	0.36	narw
13835	Channel 1	3	58888	58890.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	388	0.25	narw
13836	Channel 1	1	58890.5	58892.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	390.5	0	narw
13837	Channel 1	1	58890.9	58893.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	390.9	0.13	narw
13838	Channel 1	1	58891.1	58893.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	391.1	0.11	narw
13839	Channel 1	4	58891.3	58893.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	391.3	0.22	narw
13840	Channel 1	1	58891.5	58893.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	391.5	0.02	narw
13841	Channel 1	3	58896.4	58898.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	396.4	0.14	narw
13842	Channel 1	3	58897.5	58898.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	397.5	0.41	narw
13843	Channel 1	5	58898.2	58900.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	398.2	0.27	narw
13844	Channel 1	5	58898.5	58900.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	398.5	0.17	narw
13845	Channel 1	5	58899	58901.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	399	0.04	narw
13846	Channel 1	3	58900.9	58903.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	400.9	0.11	narw
13847	Channel 1	3	58901.6	58903.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	401.6	0.26	narw
13848	Channel 1	1	58903.9	58906.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	403.9	0.05	narw
13849	Channel 1	1	58904.1	58906.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	404.1	0.55	narw
13850	Channel 1	3	58905.2	58906.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	405.2	0.26	narw
13851	Channel 1	3	58905.9	58907.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	405.9	0.33	narw
13852	Channel 1	4	58906.7	58908.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	406.7	0.25	narw
13853	Channel 1	4	58907.3	58909.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	407.3	0.47	narw
13854	Channel 1	3	58909.8	58911.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	409.8	0.13	narw
13855	Channel 1	1	58910.2	58912.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	410.2	0.09	narw
13856	Channel 1	3	58910.4	58912.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	410.4	0.01	narw
13857	Channel 1	1	58910.9	58913.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	410.9	0.22	narw
13858	Channel 1	2	58911.9	58914.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	411.9	0.19	narw
13859	Channel 1	3	58912.2	58914.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	412.2	0.41	narw
13860	Channel 1	3	58912.8	58914.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	412.8	0.22	narw
13861	Channel 1	3	58913.7	58915.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	413.7	0.24	narw
13862	Channel 1	3	58914.1	58916.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	414.1	0.07	narw
13863	Channel 1	1	58917	58919.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	417	0.1	narw
13864	Channel 1	5	58917.8	58919.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	417.8	0.31	narw
13865	Channel 1	3	58921	58923.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	421	0.33	narw
13866	Channel 1	1	58921.6	58923.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	421.6	0.21	narw
13867	Channel 1	3	58922	58923.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	422	0.24	narw
13868	Channel 1	3	58922.7	58924.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	422.7	0.18	narw
13869	Channel 1	1	58922.8	58924.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	422.8	0.29	narw
13870	Channel 1	3	58923.5	58925.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	423.5	0.07	narw
13871	Channel 1	2	58924.8	58926.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	424.8	0.31	narw
13872	Channel 1	1	58925	58925.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	425	0.62	narw
13873	Channel 1	3	58926.5	58928.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	426.5	0.16	narw
13874	Channel 1	3	58928.7	58930.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	428.7	0.02	narw
13875	Channel 1	4	58929.4	58931.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	429.4	0.28	narw
13876	Channel 1	1	58932.4	58934.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	432.4	0.59	narw
13877	Channel 1	1	58932.7	58934.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	432.7	0.34	narw
13878	Channel 1	3	58932.9	58935.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_161500Z.flac	432.9	0.17	narw
